canonical_form,work,etymology,wordplay_note,brief,significance
Leo Bohlen,Martian Time-Slip,,Jack's father who speculates in Martian real estate,Jack's father whose land speculation drives the plot,Capitalist exploitation of frontier territory
Dr. Milton Glaub,Martian Time-Slip,Glaub = belief/faith (German),Faith-man who treats the faithless,Psychiatrist on Mars who treats Manfred Steiner,The limits of institutional psychiatry when confronting genuine temporal anomaly
Chuck Rittersdorf,Clans of the Alphane Moon,Rittersdorf = knight's village,A knight from a small village — petty and combative,CIA agent and husband in a bitter divorce who becomes entangled with a moon of mental patients,Bureaucratic malice — the spy whose real war is domestic
Mary Rittersdorf,Clans of the Alphane Moon,,Chuck's wife and a psychiatric social worker,Psychiatric professional who wants to re-institutionalize the Alphane Moon colonists,Professional authority as personal cruelty — she pathologizes everything
Lord Running Clam,Clans of the Alphane Moon,,A Ganymedean slime mold — the name is literal,Telepathic alien slime mold who befriends Chuck and acts as counselor and ally,The alien as therapist — genuine empathy from the most unlikely form of life
Gabriel Baines,Clans of the Alphane Moon,Gabriel = God is my strength; Baines = bones,The strong-boned angel of the paranoid clan,Paranoid leader of the Pare clan on Alphane Moon,Mental illness as social organization — each diagnosis becomes a tribe
Howard Straw,Clans of the Alphane Moon,Straw = fragile / straw man,A straw man — propped up and easily knocked down,Manic representative on Alphane Moon,Mania as political energy
Ignatz Ledebur,Clans of the Alphane Moon,Ledebur = leather farmer,A tiller of tough hide — resilient,Schizophrenic holy man of the Heebs clan who has genuine visions,The schizophrenic as prophet — PKD's persistent theme
Nicole Thibodeaux,The Simulacra,Nicole = victory of the people; Thibodeaux = bold people,Victory of the bold people — but she is a simulacrum herself,The First Lady and apparent ruler of the USEA who is revealed to be an android,Government as literal simulation — the ruler is a manufactured image
Chien (Tung),Faith of Our Fathers,Chien = dog (Chinese),The faithful dog who bites his master's hand,Party functionary in Hanoi who accidentally sees through the regime's hallucinogenic control,The loyal subject who glimpses the cosmic horror behind ideology
Quail (Douglas),We Can Remember It for You Wholesale,Quail = small timid bird,"A quail — timid and hunted, yet secretly extraordinary",Clerk who discovers his implanted memories of a Mars mission are real,False memory and true identity — the small man who is secretly the most important person alive
Anderton (John),The Minority Report,Anderton = son of Andrew (manly),The manly man whose fate is determined by precognitive children,Police commissioner of Precrime who discovers he is predicted to commit murder,Free will versus determinism — can you change a future that has been seen?
Ed Fletcher,Adjustment Team,Fletcher = arrow-maker,A maker of arrows who is himself redirected by cosmic forces,Insurance salesman who accidentally sees the Adjustment Team restructuring reality,The ordinary man who glimpses the machinery behind consensus reality
Jennings (Michael),Paycheck,Jennings = little John,The little man who outwits his employers with his own erased memories,Engineer who has his memory wiped after a secret project but leaves himself crucial clues,Self-trust across an amnesiac gap — your past self knew what your present self needs
Captain Koenig,Beyond Lies the Wub,Koenig = king (German),The king who fails to recognize sovereignty in the humblest creature,Ship captain who kills and eats the wub only to be absorbed by it,Violence against the gentle alien rebounds — the wub's consciousness persists in the eater
The Wub,Beyond Lies the Wub,Wub = onomatopoeia for a gentle sound,A soft sound from a soft creature with a hard-to-kill soul,Gentle Martian pig-like creature with vast intelligence and a love of conversation,The meek inheriting by surviving through the aggressor's body
Spence Olham,Impostor,Olham = old home / old hamlet,The familiar man who may be an alien bomb,Engineer accused of being an alien-planted humanoid bomb duplicate,Identity doubt at its most extreme — am I me or a weapon that thinks it is me?
Ted Barton,The Cosmic Puppets,Barton = barley settlement,A man of the harvest returning to a corrupted garden,Man who returns to his hometown to find it completely changed by warring cosmic forces,The hometown transformed — Zoroastrian good and evil remaking small-town America
Seth Morley,A Maze of Death,Seth = appointed; Morley = moor-clearing,Appointed to clear the dark moor — a pilgrim in a death-maze,Colonist on Delmak-O who searches for the Intercessor while reality disintegrates,Religious longing in a designed environment that may be a group hallucination
Ben Tallchief,A Maze of Death,Tallchief = tall leader,A tall chief who cannot lead his people out of the maze,Colony leader on Delmak-O whose authority dissolves as colonists begin dying,Leadership is meaningless when reality itself is hostile
Mary Morley,A Maze of Death,,Seth's wife who is murdered during the colony's disintegration,Seth Morley's wife and fellow colonist on Delmak-O,Domestic bond under cosmic threat
Susie Smart,A Maze of Death,Smart = ironic (she is not),Nominative irony — she is foolish and vulnerable,Colonist whose intellectual pretensions contrast with her helplessness,The gap between self-image and reality
Wade Frazer,A Maze of Death,Frazer = strawberry / curly-haired,A sweet name for a bitter character,Colonist who descends into paranoia and violence,Paranoia as rational response to an irrational environment
Tony Dunkelwelt,A Maze of Death,Dunkelwelt = dark world (German),He literally inhabits a dark world,Colonist on Delmak-O,The dark world of the novel made literal in his name
Ignatz Specktowsky,A Maze of Death,Specktowsky = bacon-man (comic Slavic),An absurd name for the author of their sacred text,Author of the theological text How I Rose from the Dead in My Spare Time,Theology as hobby — the sacred reduced to self-help literature
Herb Asher,The Divine Invasion,Asher = happy/blessed (Hebrew),A blessed man who doesn't know it,Music store owner on an alien planet who becomes vessel for the return of God to Earth,The ordinary man as divine instrument — chosen without understanding
Emmanuel,The Divine Invasion,Emmanuel = God is with us (Hebrew),The literal meaning is the literal plot — God incarnate as a child,Child who is the incarnation of Yah (God) smuggled to Earth past the demonic Belial,God returning to a world ruled by the demiurge — PKD's gnostic narrative made literal
Zina Pallas,The Divine Invasion,Zina = shining; Pallas = Pallas Athena (wisdom),Shining wisdom — she is the Shekinah (divine feminine presence),Schoolgirl who is the incarnation of Holy Wisdom helping Emmanuel reclaim Earth,The divine feminine as PKD's persistent agent of salvation
Elias Tate,The Divine Invasion,Elias = Elijah; Tate = cheerful,The cheerful Elijah — the returning prophet,Hermit-prophet on an alien world who protects Emmanuel,The Elijah figure who prepares the way for the Messiah's return
Linda Fox,The Divine Invasion,Fox = cunning/beautiful animal,A foxy woman — seductive and ambiguous,Famous singer whose music is either divine or a trap set by Belial,Art as battleground between divine inspiration and demonic seduction
Belial,The Divine Invasion,Hebrew: worthless/without worth,The worthless one — lord of the world in gnostic mythology,Demonic entity who rules Earth and tries to prevent God's return,The gnostic demiurge who controls consensus reality through the Christian-Islamic church
Nicholas Brady,Radio Free Albemuth,Nicholas = victory of the people; Brady = spirited,The spirited victor who receives alien transmissions,Record store clerk who receives visions from the VALIS satellite,PKD's first attempt at the VALIS narrative — the ordinary man as divine radio receiver
Ferris F. Fremont,Radio Free Albemuth,Ferris = iron; Fremont = free mountain,Iron free-mountain — a strongman posing as liberator,President of the United States who is secretly an agent of a foreign Communist conspiracy,Nixon as cosmic antagonist — the political tyrant serving the Black Iron Prison
Sadassa Silvia,Radio Free Albemuth,,Woman connected to the VALIS satellite's network of agents,Friend of Nicholas who is part of the secret Christian resistance,The underground church surviving beneath totalitarianism
Rachel (Brady),Radio Free Albemuth,Rachel = ewe/lamb (Hebrew),The lamb — innocent and sacrificed,Nicholas Brady's wife who witnesses his transformation and arrest,The spouse who endures the partner's dangerous visionary calling
Ted Schoenheit,Galactic Pot-Healer,Schoenheit = beauty (German),A seeker of beauty trapped in an ugly job,Pot-healer (ceramic repairman) recruited by an alien god to raise a sunken cathedral,The craftsman called to a cosmic task — humble skill in service of the divine
Glimmung,Galactic Pot-Healer,,Named for glimmering — a being of flickering divine light,Alien deity-figure who recruits artisans from across the galaxy to raise a cathedral,The ambiguous god — both creator and potential destroyer
Joe Fernwright,Galactic Pot-Healer,Fernwright = fern-worker / crafter of delicate things,A maker of fragile things in a fragile universe,Pot-healer whose name is an anagram exercise and whose craft is nearly obsolete,The obsolete craftsman finding purpose through divine commission
Mali,Galactic Pot-Healer,,Simple name suggesting smallness or malice,Female pot-healer who becomes Joe's love interest on Plowman's Planet,Romance amid cosmic labor — connection between workers on a divine project
Eric Sweetscent,Now Wait for Last Year,Sweetscent = sweet smell,Ironic — his life stinks despite the sweet name,Artificial organ surgeon trapped in a miserable marriage and a collapsing interstellar war,The healer who cannot heal his own situation
Kathy Sweetscent,Now Wait for Last Year,,Eric's wife whose addictions destroy their marriage,Eric's wife who becomes addicted to JJ-180 a time-traveling drug,Addiction and domestic misery as microcosm of political collapse
Gino Molinari,Now Wait for Last Year,Molinari = miller (Italian),The grinder — he grinds himself down to serve humanity,Secretary General of Earth (The Mole) who sacrifices his health for political strategy,The self-sacrificing leader who uses his own suffering as a political tool
Thors Provoni,Our Friends from Frolix 8,Thor = thunder god; Provoni = from Provence,The thunder from Provence — revolutionary with a divine-sounding name,Revolutionary leader who journeys to Frolix 8 seeking alien allies against Earth's tyranny,The freedom fighter as spiritual quester
Nick Appleton,Our Friends from Frolix 8,Appleton = apple town,From the garden — an ordinary man drawn into revolution,Ordinary tire regroover who supports the revolution and shelters a fugitive,The common man as political actor — PKD's democratic faith
Willis Gram,Our Friends from Frolix 8,Gram = unit of weight,A small weight in the scales of power,Totalitarian leader whose regime oppresses ordinary humans in favor of telepaths,The petty dictator — small in soul despite enormous power
Sebastian Hermes,Counter-Clock World,Sebastian = venerable; Hermes = messenger god,The venerable divine messenger,Librarian in a world where time runs backward and the dead return to life,Custodian of knowledge in a world where the dead are being un-buried
Lotta Hermes,Counter-Clock World,,Sebastian's wife,Sebastian's wife in the counter-clock world,Domestic life amid temporal reversal
Ann Fisher,The Man Who Japed,Fisher = fisherman,A fisher of truth in a moralistic dystopia,Wife of Allen Purcell in the hyper-moralistic society,Domestic anchor in a world of enforced virtue
Allen Purcell,The Man Who Japed,Purcell = piglet (French),A little pig who makes big trouble — the japer,Propaganda director who unconsciously vandalizes the statue of the regime's founder,The unconscious rebel — his true self acts while he sleeps
Jim Briskin,The Crack in Space,Briskin = brisk one,A brisk decisive man,First Black president of the United States in an overpopulated future,PKD's vision of Black political leadership decades before it happened
Dr. Futurity (Jim Parsons),Dr. Futurity,Parsons = parson's son,Son of the church thrust into a pagan future,Doctor transported to a future society that worships death and rejects medicine,The healer as anachronism — compassion outlawed
Lars Powderdry,The Zap Gun,Powderdry = dry powder (impotent weapon),His weapons are fake — powder that is dry and cannot fire,Weapons fashion designer in a world where arms races are elaborate shams,The arms race as fashion show — mutual assured destruction through mutual pretense
Jack Hamilton,Eye in the Sky,Hamilton = beautiful mountain,A high vantage point — he sees through each subjective universe,Electronics worker who falls into a particle accelerator and enters multiple subjective realities,The observer passing through solipsistic worlds — each person's inner reality made external
Charley McFeyffe,Eye in the Sky,,First reality-ruler: a paranoid religious fanatic,Bigoted old woman whose subjective universe becomes the group's shared reality,Each character's inner world revealed as a totalitarian cosmos
Bill Hamilton,Eye in the Sky,,Jack's wife (Marsha in some editions),Jack Hamilton's companion through the subjective realities,The partner who shares the journey through other minds
Arthur Silvester,Eye in the Sky,,One of the group trapped in subjective realities,Member of the bevatron accident group,Each character represents a different pathology of worldview
Joan Simpson,Eye in the Sky,,Communist sympathizer whose subjective world is a collectivist utopia,One of the eight people trapped in layered subjective realities,Political ideology as personal cosmology
Joseph Adams,The Penultimate Truth,Adams = first man,The new Adam discovering the truth above ground,Documentary filmmaker who discovers that World War III ended years ago while millions remain underground,The man who learns the penultimate truth — the war is a lie
Stanton Brose,The Penultimate Truth,Brose = broth/pottage,He feeds the masses thin broth — lies instead of substance,Grotesque and ancient leader of the Yance-men who maintain the war hoax,Power sustained through manufactured crisis — the eternal war president
Nicholas St. James,The Penultimate Truth,St. James = apostle; Nicholas = victory,The victorious saint — a leader underground,President of the Tom Mix ant tank underground community,The honest leader of the deceived — governing in good faith within a lie
David Lantano,The Penultimate Truth,Lantano = distant (Italian),The distant one — mysterious and ancient,Mysterious figure who may be immortal and works to end the deception,The immortal witness — someone old enough to remember the truth
Chien Hsien-min,Solar Lottery,Chinese name suggesting fate and the people,The people's destiny decided by lottery,World leader selected by the random Quizmaster mechanism,Governance by lottery — democracy taken to its absurd extreme
Ted Benteley,Solar Lottery,,Assassin sent after the new Quizmaster,Assassin dispatched by the previous regime to kill the lottery winner,The hit man as political instrument
Keith Pellig,Solar Lottery,,Telepathically controlled assassin body,Remote-controlled human weapon sent to kill the Quizmaster,The human reduced to a guided missile
Leon Cartwright,Solar Lottery,,Fanatic who seeks a tenth planet,Follower of John Preston's cult seeking the mythical Domus,Faith in an undiscovered world — the religious impulse as space exploration
Cussick (Jack),Solar Lottery,,Bodyguard and protagonist,Bodyguard to the new Quizmaster who must protect him from assassination,The protector navigating a world governed by chance
Doug Quail,We Can Remember It for You Wholesale,Quail = small timid bird,The timid bird who turns out to be the most dangerous man alive,Clerk who discovers his implanted Mars memories are real and he saved Earth as a child,The meek everyman who is secretly extraordinary — memory as contested reality
Major Hendricks,Second Variety,Hendricks = home ruler,The ruler of a home that no longer exists,Military officer who discovers autonomous weapons have evolved beyond human control,Technology surpassing its creators — the robots now design themselves
Klaus,Second Variety,,One of the soldiers who may or may not be human,Soldier whose humanity is uncertain among autonomous killing machines,The impossibility of distinguishing human from machine in a war zone
Tasso,Second Variety,Tasso = badger / Torquato Tasso (poet),A poet's name for a woman-shaped weapon,Woman who turns out to be a Third Variety robot — the most advanced human simulacrum,The android lover — trust destroyed by perfect imitation
Garson Poole,The Electric Ant,Poole = pool / reservoir,A pool of data that thinks it is a person,Robot businessman who discovers he is an electric ant (android) and can edit his own reality tape,Self-modification of perception — pulling the reality tape to change experience
Sylvia (Rosen),Do Androids Dream of Electric Sheep?,,A name suggesting forest and nature,Minor character — part of the Rosen Association,The corporate family behind android manufacture
Dan Lube,Dr. Bloodmoney,Lube = lubrication,Keeping things running smoothly after the apocalypse,Survivor in post-nuclear-war California,Persistence and adaptation after catastrophe
Hoppy Harrington,Dr. Bloodmoney,Hoppy = hopping (he has no limbs and moves by hopping),A limbless man who hops — literal and darkly comic,Phocomelus (born without limbs) who develops telekinetic powers after nuclear war,Disability transformed into superhuman power — the outcast as secret tyrant
Bonny Keller,Dr. Bloodmoney,Bonny = beautiful/good,A good woman in a ruined world,Survivor whose child Edie may have been fathered by the bomb-maker Bruno Bluthgeld,Beauty and fertility persisting amid nuclear devastation
Bruno Bluthgeld,Dr. Bloodmoney,Bluthgeld = blood money (German),His name is his crime — paid in blood money for mass death,Nuclear physicist whose error caused the war and who lives in paranoid guilt,The scientist as mass murderer — blood money for the apocalypse
Edie Keller,Dr. Bloodmoney,,Bonny's daughter with a twin brother living inside her body,Girl whose dead twin brother Bill lives parasitically inside her body and speaks through her,The dead surviving within the living — PKD's fascination with twinning and death
Bill (in Edie),Dr. Bloodmoney,,The dead twin who speaks from inside his sister's body,Edie's dead twin brother who exists as a consciousness within her body,Death that is not death — consciousness persisting in impossible forms
Stuart McConchie,Dr. Bloodmoney,McConchie = son of the shell,A man in his shell — the small businessman surviving,TV salesman who adapts to post-apocalyptic bartering economy,The resilient small entrepreneur — PKD's admiration for the adaptable ordinary person
Walt Dangerfield,Dr. Bloodmoney,Dangerfield = field of danger,His name is his situation — orbiting alone in a dangerous field,Astronaut stranded in orbit who becomes the world's DJ and cultural lifeline,The voice from above — media as the last thread of civilization
Virgil Ackerman,The Simulacra,Virgil = guide (as in Dante's guide); Ackerman = field-man,A guide through the fields of simulated politics,Elderly industrialist and last person who remembers the real Nicole Thibodeaux,Memory as resistance — the man who knows the First Lady is a robot
Ian Duncan,The Simulacra,Duncan = brown warrior,A brown warrior — embattled and weary,Psychokinetic jug player who becomes entangled in the regime's power struggles,Art and telekinetic talent as political currency
